0,1
C1C[NH+]1C1C2C3NC3C21,-381.95816
C#CC12OCC1C2(C)C,-385.85215
CC12C=CC3(O)C14OC234,-421.77624199999997
C#CC1C2COC(=O)C12,-420.65369599999997
CC1C[NH+](C2COC2)C1,-404.333142
Cc1nc(N)co1,-340.70532099999997
N#Cc1conc1CO,-452.776771
CCCOC(C)CC#N,-404.407637
COC(C)C(C)(C)C#N,-404.40146699999997
O=C1C2COC1C2,-344.463321
C#CCC[NH+](C)CC=O,-403.140442
C[NH2+]C1OCC(=O)C1O,-475.07037199999996
C1=CCC23CC2CC3C1,-349.97434300000003
C#CCc1cnnnn1,-411.730187
CC1C2OC(C)(C#N)C12,-401.955462
Nc1c[nH]nn1,-297.55163
O=Cc1nc(O)no1,-450.628309
CC1COC(=O)N2CC12,-439.131788
O=C1CC(O)C(O)CN1,-476.296634
C1CC([NH+]2CC2)C2OC12,-403.13969199999997
O=CC(=O)c1cc[nH]n1,-452.80998200000005
C#CC(=O)CC(C)OC,-423.032971
C#CC1[NH+]2C[NH2+][CH+]C12C,-379.564437
C#CCC1CCOCO1,-423.029267
COc1ccn(C)n1,-379.96844300000004
CC12C3COC1C2OC3,-423.04387199999996
NC(=O)C12CC1(O)CN2,-455.157507
C#CC1C(C)C2CC12O,-385.85886
NC(=O)C1CC2CC1C2,-403.211684
O=C1CCN1C1COC1,-439.11232199999995
C#CC(O)CC#CC#N,-399.52831000000003
CC1COC([NH-])C(C)C1,-404.41669
CC12CCC(O)(C1)C2,-349.037851
CN1C(=O)N2CC2C1[NH-],-434.12789000000004
CC1OCC12CC2O,-384.932261
CCC#CC#CC(C)C,-349.969071
CC1CCC=CNC1=O,-403.2368
O=C1CC2COCCC12,-423.07171500000004
O=CC1=CC=CCCC1,-385.962276
N#CC1=CC(C=O)CC1,-400.82322400000004
COC12CC1(C)C1CC12,-387.07178
CC1NC(=O)NCC1O,-456.43360700000005
CCC(C=O)CC1CO1,-424.252975
C#CC12C3CC1C2(O)C3,-384.63622200000003
C#CC(C#N)(CC)NC,-382.065544
C#CC(=N)NC(=N)CO,-434.074442
C#CC#C/C(C)=N/O,-361.405371
O=CCC1C=CC2CC12,-385.927346
CCC1(OC)CC(O)C1,-425.443241
CC(C)(C#N)C1CCC1,-367.264466
NC(=O)c1ncco1,-414.754008
C#CC1C=CC(C)O1,-346.60337599999997
COC1C[NH+]2C(C=O)C12,-439.05771799999997
CC1C2NC(=O)OC12C,-439.16286399999996
C1C2CC3C2C2CC1C32,-349.944508
CC(=O)OC1(C=O)CC1,-459.030058
